product_name,product_url,product_image
Bánh Dẻo Sữa Dừa ( 0 Trứng ) 180G - 2025,https://banhkinhdo.com.vn/san-pham/banh-deo-sua-dua-0-trung-180g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20281%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Thập Cẩm ( 0 Trứng) - 2025,https://banhkinhdo.com.vn/san-pham/banh-deo-thap-cam-0-trung-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20308%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Dẻo Đậu Xanh (1 Trứng) 180G - 2025,https://banhkinhdo.com.vn/san-pham/deo-dau-xanh-1-trung-180g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20308%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Hạt Sen Hạt Dưa (1 Trứng)  230g -2022,https://banhkinhdo.com.vn/san-pham/banh-deo-hat-sen-hat-dua-1-trung-230g-2022/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20126%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Jambon Lạp Xưởng ( 0 Trứng) 230g - 2022,https://banhkinhdo.com.vn/san-pham/banh-deo-jambon-lap-xuong-0-trung-230g-2022/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20262%20239%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Cốm Dừa Hạt Dẻ(0 Trứng) _250G - Miền Bắc,https://banhkinhdo.com.vn/san-pham/banh-deo-com-dua-hat-de-0-trung-mien-bac/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Sữa Dừa Hạt Dưa(0 Trứng) _250G - Miền Bắc,https://banhkinhdo.com.vn/san-pham/banh-deo-sua-dua-hat-dua-0-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Jambon Lạp Xưởng(1 Trứng)_250G,https://banhkinhdo.com.vn/san-pham/banh-deo-jambon-lap-xuong-1-trung-2/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Jambon Lạp Xưởng(0 Trứng)_250G - Miền Bắc,https://banhkinhdo.com.vn/san-pham/banh-deo-jambon-lap-xuong-1-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Hạt Sen Hạt Dưa(1 Trứng)_250G,https://banhkinhdo.com.vn/san-pham/banh-deo-hat-sen-hat-dua-1-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Đậu Xanh Hạt Dưa 1 Trứng 230g - 2024,https://banhkinhdo.com.vn/san-pham/banh-deo-dau-xanh-hat-dua-1-trung-230g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Déo Hạt Sen 1 Trứng 180g - 2025,https://banhkinhdo.com.vn/san-pham/banh-deo-hat-sen-1-trung-180g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Đậu Xanh 1 Trứng 180g - 2022,https://banhkinhdo.com.vn/san-pham/banh-deo-dau-xanh-1-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Banh dẻo thập cẩm (1 trứng),https://banhkinhdo.com.vn/san-pham/banh-deo-thap-cam-1-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
